No.,カテゴリ,店舗・施設名,都道府県,住所,電話番号,公式URL,問い合わせ先,ハラル認証状況,使用食材（競合情報）,優先度,アプローチメモ
1,焼肉,和牛焼肉ぱんが 新御徒町本店,東京都,台東区（新御徒町駅徒歩1分）,,https://www.wagyu-panga.jp/,サイト問合せフォーム,JHF認証済,A5ハラル和牛,★★★,PANGAグループ旗艦店。仕入れ先の追加・切替を提案
2,焼肉,和牛焼肉ぱんが 浅草店,東京都,台東区雷門2-1-13 4F,03-6231-6229,https://tabelog.com/en/tokyo/A1311/A131102/13287317/,直電,JHF認証済,A5ハラル和牛,★★★,PANGAグループ2号店
3,焼肉,肉亭ふたご iki 本郷三丁目店,東京都,文京区本郷,03-3868-2576,https://en.nikutei25.com/,TEL・サイト,JHF認証済,黒樺牛（競合）,★★★,黒樺牛→天幸牛への乗換提案。IG: @nikuteifutago.hongou
4,焼肉,肉亭ふたご iki 新宿店,東京都,新宿区歌舞伎町1-18-9 WaMall 10F,03-6205-6525,https://tabelog.com/en/tokyo/A1304/A130401/13197184/,直電,不明（要確認）,黒樺牛・太田牛（競合）,★★,黒樺牛使用中→ハラル認証確認後に乗換提案
5,焼肉,肉の匠 将泰庵 神田店,東京都,千代田区鍛治町1-9-19 GEMS新日本橋8F,03-3527-1629,https://shoutaian.co.jp/nikunotakumi/store/kanda/,TEL・サイト,JHF認証（2025年取得）,,★★,2025年認証取得直後→仕入れ先選定タイミング
6,焼肉,焼肉会席ともじ（HALAL yakiniku TOMOJI）,東京都,港区西新橋 日比谷フォートタワー2F,,https://yakiniku-tomoji-tokyo.owst.jp/,サイト問合せフォーム,JHF認証済,知床産A5ハラル和牛,★★,ミシュランシェフ監修・高級路線。OpenTable予約可
7,焼肉,炭火焼肉うしざか,東京都,港区西麻布4-3-2 田丸ビルB1F,03-6452-6929,https://ushizaka.com/,TEL・IG,ムスリムフレンドリー,,★★,IG: @yakiniku_ushizaka
8,焼肉,権八 西麻布（GONPACHI）,東京都,港区西麻布1-13-11 1-2F,03-5771-0170,https://gonpachi.jp/nishi-azabu/,TEL・サイト,ハラール認証済,尾崎牛（競合）,★★,ハラール黒毛和牛コース¥16,500提供。天幸牛への食材提案
9,ステーキ,GINZA THE EMPEROR（銀座初ハラル神戸牛専門店）,東京都,中央区銀座7-6-10 アソルティ銀座6F,03-6264-5394,https://emperor-ginza.com/,TEL・問合せフォーム,JHF認証済,ハラル神戸牛（競合）,★★,神戸牛の代替・追加食材として天幸牛を提案
10,焼肉,神戸牛焼肉ハラール和牛 肉兵衛 赤坂本店,東京都,港区赤坂3-10-5 赤坂クィーンビル2F,,https://nikubei-akasaka.com/ja/,サイト問合せ,ハラール認証済,100ヶ月熟成神戸牛（競合）,★★,豚肉・アルコール完全不使用。神戸牛仕入れの代替提案
11,居酒屋,博多前炉ばた 一承 東京上野,東京都,台東区上野（上野駅浅草口徒歩1分）,,https://issho-ueno.com/,サイト問合せ,辰屋ハラル神戸牛使用,ハラル神戸牛（辰屋）,★,ハラル神戸牛ステーキコース¥15,000〜35,000。IG: @hakatamaerobata.issho.ueno
12,焼肉,元気大将 新宿歌舞伎町,東京都,新宿区歌舞伎町2-9-3 三経59 1F,03-6233-8857,https://tabelog.com/en/tokyo/A1304/A130401/13234152/,直電,全席ハラール,宮崎牛・鹿児島牛（競合）,★,saki.safwa・TikTok紹介店。宮崎牛指定店。オーナーはパキスタン人
13,すき焼き・しゃぶしゃぶ,HALAL WAGYU RESTAURANT SHINJUKU-TEI 赤坂店,東京都,港区赤坂2-21-1 川本ビル1F,,https://www.halal-wagyu-shinjukutei-akasaka.com/,info@ken-company-llc.com,ハラール認証済,知床産A5和牛,★★★,すき焼き・しゃぶしゃぶ・焼肉・ラーメン複合業態。FC展開中
14,ラーメン,ハラル和牛ラーメン 新宿亭 四谷店,東京都,新宿区四谷1-23 上野ビルB1F,080-5913-0146,https://www.halal-ramen-shinjuku.shop/,info@ken-company-llc.com,ハラール認証済,A5ハラル和牛,★★★,新宿亭グループ1号店。FC加盟問合せ窓口も同メール
15,ラーメン,HALAL WAGYU RAMEN SHINJUKU-TEI 銀座店,東京都,港区新橋・汐留エリア,,https://hitosara.com/0034001662/,info@ken-company-llc.com,ハラール認証済,A5ハラル和牛,★★,新宿亭グループ
16,ラーメン,麺屋帆のる 恵比寿店,東京都,渋谷区恵比寿,03-5734-1667,https://halalramen-honolu.net/,TEL・サイト,ハラール認証（2020年取得）,黒樺牛（競合）,★★,黒樺牛使用確認→天幸牛への乗換提案。IG: @honolu_ebisu
17,ラーメン,麺屋帆のる 新宿御苑前店,東京都,新宿区新宿1-31-3 ダイアパレス新宿1丁目,03-5357-7664,https://hitosara.com/0031614611/,TEL,ハラール認証済,黒樺牛（競合）,★★,黒樺牛使用確認→天幸牛への乗換提案
